2024-06-09 17:04:59,189 INFO    StreamThr :2247156 [internal.py:wandb_internal():85] W&B internal server running at pid: 2247156, started at: 2024-06-09 17:04:59.188519
2024-06-09 17:04:59,196 DEBUG   HandlerThread:2247156 [handler.py:handle_request():158] handle_request: status
2024-06-09 17:04:59,200 INFO    WriterThread:2247156 [datastore.py:open_for_write():87] open: /data/Users/xyq/developer/yuquan/wandb/offline-run-20240609_170459-9a1q1vy4/run-9a1q1vy4.wandb
2024-06-09 17:04:59,210 DEBUG   HandlerThread:2247156 [handler.py:handle_request():158] handle_request: run_start
2024-06-09 17:04:59,248 DEBUG   HandlerThread:2247156 [system_info.py:__init__():26] System info init
2024-06-09 17:04:59,248 DEBUG   HandlerThread:2247156 [system_info.py:__init__():41] System info init done
2024-06-09 17:04:59,248 INFO    HandlerThread:2247156 [system_monitor.py:start():194] Starting system monitor
2024-06-09 17:04:59,249 INFO    SystemMonitor:2247156 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-09 17:04:59,249 INFO    HandlerThread:2247156 [system_monitor.py:probe():214] Collecting system info
2024-06-09 17:04:59,250 INFO    SystemMonitor:2247156 [interfaces.py:start():188] Started cpu monitoring
2024-06-09 17:04:59,252 INFO    SystemMonitor:2247156 [interfaces.py:start():188] Started disk monitoring
2024-06-09 17:04:59,254 INFO    SystemMonitor:2247156 [interfaces.py:start():188] Started gpu monitoring
2024-06-09 17:04:59,264 INFO    SystemMonitor:2247156 [interfaces.py:start():188] Started memory monitoring
2024-06-09 17:04:59,266 INFO    SystemMonitor:2247156 [interfaces.py:start():188] Started network monitoring
2024-06-09 17:04:59,354 DEBUG   HandlerThread:2247156 [system_info.py:probe():150] Probing system
2024-06-09 17:04:59,356 DEBUG   HandlerThread:2247156 [gitlib.py:_init_repo():56] git repository is invalid
2024-06-09 17:04:59,356 DEBUG   HandlerThread:2247156 [system_info.py:probe():198] Probing system done
